User Id,Name,Screen Name,UTC,Created At,Followers,Following,Favorites,Tweets,Lists,Bio,Location,URL,Verified,Protected,Default Profile,Last Posted
52716474,田宮かいち,ktamiya,2009-07-01T12:52:24.000Z,Wed Jul 01 12:52:24 +0000 2009,340294,337799,1354,22830,4132,僕だけではないですが、コロナウィルスの影響で、売り上げが激減しています。野菜は在庫や生産キャンセルができません。どうか助けて下さい。https://t.co/JB9DoEEM9F,Tokyo、港区赤坂、東京北区,http://www.ktamiya.com/,TRUE,FALSE,FALSE,2021-01-25T02:36:38.000Z
99077223,大杉 潤,alohakcc,2009-12-24T10:15:43.000Z,Thu Dec 24 10:15:43 +0000 2009,262657,278638,1749,26555,1441,"米国のセドナとハワイを愛するスピリチュアルな経営者。定年後の不安を「自分が主役の人生」に変える専門家。
I am a business person who is interested in the spiritual method. I love Hawaii and Sedona,Arizona,USA.",東京２３区、ハワイ,http://www.jun-ohsugi.com,FALSE,FALSE,FALSE,2021-02-08T01:16:40.000Z
68442037,西内孝文(UnitedAdvisers),t_nishiuchi,2009-08-24T16:15:31.000Z,Mon Aug 24 16:15:31 +0000 2009,214633,226893,0,3435,2645,世界で最も税理士らしくない税理士。難関資格オタクですが仕事が唯一の趣味。税理士、特定社会保険労務士、中小企業診断士、行政書士、ＣＦＰと複数の資格で経済産業省後援ドリームゲートで相談件数Ｎｏ．１独走中！無料相談はお気軽にどうぞ。ユナイテッド・アドバイザーズ法律会計事務所パートナー。ツイナビ公認。,東京都,http://www.dreamgate.gr.jp/consul/pro/astolat,FALSE,FALSE,FALSE,2020-02-18T10:20:21.000Z
541345665,堀 潤　J U N H O R I,8bit_HORIJUN,2012-03-31T01:20:39.000Z,Sat Mar 31 01:20:39 +0000 2012,201923,27612,148518,81218,4150,Journalist/8bitNews代表 https://t.co/qGuN8ZkG2H ／GARDEN CEO https://t.co/0LHZEzrHsq ／TEDxKyoto https://t.co/7MiXldOf9Q email hori@8bitnews.org,"Ebisu,Tokyo",https://www.youtube.com/c/HORIJUN0709,TRUE,FALSE,FALSE,2021-02-08T07:05:33.000Z
66612533,木村英一,Eiichi_Kimura,2009-08-18T06:10:33.000Z,Tue Aug 18 06:10:33 +0000 2009,176475,206086,16,6529,2349,人・組織が成長し続ける！加速成長トレーニングを実践、提供しています！著書にアマゾン、ビジネス部門で第１位の「ストレスゼロの仕事術」。中国語、韓国語にも翻訳されました！,東京都練馬区,http://www.change-growth.jp,FALSE,FALSE,TRUE,2021-02-01T08:26:20.000Z
94951402,柏木 章,KashiwagiAkira,2009-12-06T06:45:45.000Z,Sun Dec 06 06:45:45 +0000 2009,163836,167139,67,18435,1890,数は多くないですが写真のツイート多いです(^.^)フォロー歓迎！今はいろいろやってます(^^)元スクエニ。プロジェクトマネージャーです。(・ω・)ノ,"Yokohama, Japan",https://wonderfulwalking.wordpress.com,FALSE,FALSE,FALSE,2021-02-05T10:17:54.000Z
18560429,小林照幸,koba_ninkigumi,2009-01-02T19:42:45.000Z,Fri Jan 02 19:42:45 +0000 2009,162550,187049,33,1174,2583,株式会社人気組 代表取締役 https://t.co/4Ibkb2FFca ☆175cm62kg☆10月14日生☆子孫繁栄 夫婦円満 商売繁盛☆趣味デート☆,東京都千代田区大手町,https://koba.family,FALSE,FALSE,TRUE,2021-01-07T10:44:03.000Z
112605176,Reona Onoue,tailuplion,2010-02-09T03:02:30.000Z,Tue Feb 09 03:02:30 +0000 2010,162092,167933,56,4667,1857,"大阪⇒東京⇒島根と移動（一部は異動）して東京に戻ってきました。 
学生時代からの友人も多いし東京はやはり楽しい街です。 

前職の経験も活かしながら 
コミュニケーション全般に関わる仕事をしています。",新宿御苑前,,FALSE,FALSE,FALSE,2021-02-07T12:03:04.000Z
120412640,横浜トゥデイ⚓️,yokohamatoday,2010-03-06T10:40:20.000Z,Sat Mar 06 10:40:20 +0000 2010,146763,5068,227,13498,1278,「横浜でいちばん今日の横浜を知っている」を目標に、横浜（桜木町、みなとみらい、馬車道、元町、野毛他）の今日・近日のイベント情報をツイート。お仕事帰りやデート、家族サービスに活用を！フォローやRTされると喜びます。横浜大好きなボランティアのチーム体制で運営。夜21時以降のツイートが多めです。,横浜 Yokohama,http://yokohamatoday.localinfo.jp/,FALSE,FALSE,TRUE,2021-02-04T13:41:21.000Z
65400499,MIYAKO_CREATIVE,MIYAKO_CREATIVE,2009-08-13T16:21:31.000Z,Thu Aug 13 16:21:31 +0000 2009,140111,156186,919,63760,3452,"歌手・2009年コロムビアメジャーデビュー。商標登録ヴォイストレーニング®総本山・ヴォイス・トレーナーズ・アカデミー®二代目／声学家®。
テレビ朝日「音楽チャンプ」審査員。著書「ヴォイストレーニング〜聴かせる歌い方のコツ58」(メイツ出版)。レッスン、講演、企業研修開催中。https://t.co/tQ90JoiG9K",東京,https://www.instagram.com/miyako_creative/,FALSE,FALSE,FALSE,2021-02-07T11:40:05.000Z
21158514,おおひら一博(いっぱく),ohira189,2009-02-18T02:01:40.000Z,Wed Feb 18 02:01:40 +0000 2009,138599,107586,1031,729,2113,海外育ち浦安民。IT企業(SNS・サイバー犯罪対策)・新聞記者(国会駐) を経て、議員秘書・モデル・リゾート企業・NPO副代表・浦安市消防団・予備自衛官などに従事｜84／舞浜まで10分／社会保障BI・防災・WLB・地方創生／貧困の法的支援|日本政策学校1期 TOKYO自民党政経塾 慶應経済 ハンスのもみあげエビフライ,浦安、舞浜、永田町、新宿,http://ohira189.jp,FALSE,FALSE,FALSE,2020-12-11T13:17:56.000Z
64164263,水野行生@蜂蜜で世界を平和にしてみないか?,beegotara,2009-08-09T12:23:43.000Z,Sun Aug 09 12:23:43 +0000 2009,138329,151577,61,20162,0,日本におけるフェアトレードはちみつパイオニア企業といわれている合資会社オフィス五タラントの経営者です。アフリカなどの話題を中心につぶやきます。,横浜市中区山下町166 横濱バザール1F,http://shop.5talents.jp,FALSE,FALSE,FALSE,2021-02-08T01:25:43.000Z
110919397,聰（さとし）,ShimadaGOLF,2010-02-03T06:00:28.000Z,Wed Feb 03 06:00:28 +0000 2010,136151,134955,231,13934,2156,名古屋市天白区で、2014年7月迄小さなゴルフ練習場（株）島田ゴルフセンターを経営してました。勝手なことを呟きます。どんどん絡んで下さい。返事は、する様にしております。・・・たまに忘れることも。。。よろしくお願いします。 SHIMADA_GOLF も私が管理しています。,天白区 名古屋市 愛知県 JAPAN,http://ameblo.jp/messiahs/,FALSE,FALSE,FALSE,2020-12-25T01:43:52.000Z
58722873,出口治明,p_hal,2009-07-21T06:17:25.000Z,Tue Jul 21 06:17:25 +0000 2009,135311,57085,163,17967,1666,2008年、還暦でライフネット生命を開業。12年、上場。社長・会長を10年勤める。18年1月より、立命館アジア太平洋大学（APU）学長に就任。,大分県別府市,http://www.apu.ac.jp/home/,TRUE,FALSE,FALSE,2021-01-07T13:16:11.000Z
44866344,精神科医・樺沢紫苑@アウトプット大全・インプット大全 シリーズ75万部突破,kabasawa,2009-06-05T10:44:07.000Z,Fri Jun 05 10:44:07 +0000 2009,125349,119242,16356,30830,4092,精神科医、作家。著書３０冊以上。４０万人超のネットメディアで精神医学、心理学をわかりやすく解説。「アウトプット大全」「ストレスフリー超大全」大好評発売中！ ご質問は【質問箱】→https://t.co/Uag6UgsZhk,東京,https://www.youtube.com/user/webshinmaster,FALSE,FALSE,FALSE,2021-02-08T07:23:41.000Z
3965221,志賀雄太,shiganet,2007-04-10T01:39:55.000Z,Tue Apr 10 01:39:55 +0000 2007,119447,113745,647,5740,2645,リアルワールドゲーム（Real World Game:RWG）専門のゲーム会社、株式会社MIRAIRE（ミライーレ）の創業代表です,神奈川県横浜市,http://miraire.jp,FALSE,FALSE,FALSE,2020-12-30T00:52:20.000Z
139016496,玉川光昭,tamagawakmtn,2010-05-01T08:49:35.000Z,Sat May 01 08:49:35 +0000 2010,118576,125946,77,12639,1854,"福島県南相馬市で、工務店と設計事務所をやっています。「親子２世代でつくる３世代同居の家」という本を出版して、たくさんの人から応援をいただいています。新聞･雑誌でもいろいろ書いてます。玉川工務店の社長です。
Facebookもどうぞ！http://t.co/6M9krPHykH",福島県南相馬市,http://www.tamagawakoumuten.com,FALSE,FALSE,FALSE,2015-12-25T00:38:55.000Z
136461307,タムジュン,junya517,2010-04-24T01:03:00.000Z,Sat Apr 24 01:03:00 +0000 2010,117538,121371,30,45665,1574,ためにならないツイートばかりです。 シイタケと指舐めてからお札出す人は嫌いです。,大阪府,http://ameblo.jp/junya517,FALSE,FALSE,FALSE,2021-01-23T12:50:13.000Z
883049179576098817,ヨビノリたくみ😬,Yobinori,2017-07-06T19:45:05.000Z,Thu Jul 06 19:45:05 +0000 2017,117146,9776,28291,13440,507,教育系YouTuber/登録者60万人/元学術振興会特別研究員(DC1)/元予備校講師/『ドラゴン堀江』数学講師/フリーランス/公式HP https://t.co/PIU3tdqHOv /動画編集担当やす→(@Yasu_Yobinori)/コラボやお仕事のご依頼はyobinori.official@gmail.comまで,,http://youtube.com/yobinori,FALSE,FALSE,TRUE,2021-02-08T05:34:11.000Z
100468426,隼🔥(みんなが笑顔プロジェクト）,Hayator,2009-12-30T10:52:58.000Z,Wed Dec 30 10:52:58 +0000 2009,116101,124899,8221,111721,1280,一生歩けないと言われ一度全てをなくし、人の笑顔に救われて、歩けるようになりました。| 「イメージ出来れば何でも出来る」 | 助け合いの輪を創る | 除菌POPで感染者を減らす運動 | #おのくん を世界的なキャラクターへ！？| コラボ募集 @onokun1 https://t.co/ab5ZQRmQH4,東京都中央区銀座,https://hayator.socialimagine.com/2014/07/23/good/message-from-god/,FALSE,FALSE,FALSE,2021-02-07T14:21:35.000Z
149338248,平松由貴@美容コンサルタント,YukiHiramatsu,2010-05-29T01:37:35.000Z,Sat May 29 01:37:35 +0000 2010,115437,116171,10,7624,1693,准看護師資格取得後、経営コンサルティング会社、日本美容皮膚科学会に所属。スタイリスト。目力研究家。メンズ美容。見た目を変えれば、コンディションも高まる！書籍に『男の年収は見た目で決まる』『キレイ体質に変わる秘密のメソッド』等。メディア掲載多数。,東京都,http://hadahari.com/yuki-hiramatsu/,FALSE,FALSE,FALSE,2020-08-04T23:35:38.000Z
89614080,カンクロー,kankuroits,2009-11-13T03:19:43.000Z,Fri Nov 13 03:19:43 +0000 2009,113693,117661,63,4150,2260,水戸でインターネットマーケティングの会社を経営しています。旅館のお客様が多いので、毎週、人もうらやむ観光地に出かけております。それ以外は愛コギと毎朝散歩してます。FaceBook→http://t.co/GphE5KmB94,茨城県水戸市城南,http://its-mito.com/,FALSE,FALSE,FALSE,2020-11-14T06:34:47.000Z
147439099,えでぃお,ediochin,2010-05-24T04:14:46.000Z,Mon May 24 04:14:46 +0000 2010,113457,127788,30,3204,1140,のほほんほん。パピヨンの菊千代ねぇさんとふたり暮らし。雑学とスカイダイビングを愛する。iPhone無しでは生きられない。早大（法）卒。漂泊の人生。漂白ではない。,山形－東京（表参道）,http://edio.main.jp/,FALSE,FALSE,FALSE,2013-10-11T01:23:01.000Z
97332159,F太,fta7,2009-12-17T01:28:03.000Z,Thu Dec 17 01:28:03 +0000 2009,110934,7062,52016,36150,1,2020年4月『要領がよくないと思い込んでいる人のための仕事術図鑑』出版。6万部突破中。ツイート厳選したねこ→@shh7,Tokyo,https://note.com/fta7,FALSE,FALSE,FALSE,2021-02-07T16:52:33.000Z
117474151,アート,hearts108,2010-02-25T17:36:56.000Z,Thu Feb 25 17:36:56 +0000 2010,107358,116914,5,4377,1305,"１９６３年生まれのＢ型天秤座。参禅人、デザイナー。
２１歳に「他心通力」が開花。能力に深謝。。。
ソクヨミ、ＮＯＷ　ＯＮＬＹ　ＯＮ　ＴＷＩＴＴＥＲ。。。！",,http://j.mp/tuilog,FALSE,FALSE,FALSE,2020-06-16T12:19:02.000Z
85833580,ホームズくん,HOMES_kun,2009-10-28T14:51:28.000Z,Wed Oct 28 14:51:28 +0000 2009,106327,33719,18084,970010,627,不動産・住宅情報サイト「LIFULL HOME'S」の公式アカウント。 おもしろいおうちや珍しい間取り、街のことなど、ホームズくんが気になることをつぶやきます。 探している家の条件があったら、ホームズくんに相談してみてくださいね。LIFULL HOME'S掲載物件から、ホームズくんが手動で探してくれますよ。,ホームズくんのおうち,https://www.homes.co.jp/,TRUE,FALSE,FALSE,2021-02-08T07:51:43.000Z
66626233,仁藤 雄三　増刷請負人,YuzoNito,2009-08-18T07:47:33.000Z,Tue Aug 18 07:47:33 +0000 2009,104109,125904,1339,61427,1994,自分に必要な本は自分にしかわからない、という信念から人に薦めないで読者を増やし、日本を世界一の読書大国にしたい。そのために、今、自分ができることをツイートします。特に、どう表現すれば本の面白さや魅力を伝えられるか試行錯誤中。日本出版学会会員。ＨＰでは明治３年からのベストセラーや書店、出版社の売上ランキングなどをご紹介,埼玉県越谷市,http://www.1book.co.jp/,FALSE,FALSE,FALSE,2021-02-08T07:26:04.000Z
