User Id,Name,Screen Name,UTC,Created At,Followers,Following,Favorites,Tweets,Lists,Bio,Location,URL,Verified,Protected,Default Profile,Last Posted
220171299,eYAY.net トレンドアンテナ,eyay_net,2010-11-27T00:15:42.000Z,Sat Nov 27 00:15:42 +0000 2010,75743,526,1,7214,1011,"Make Sense!
Antenna of Trend and Culture in Japan.
筋を読む。裏筋も読む。
今日のすべてが明日の種銭。",Tokyo Japan,,FALSE,FALSE,FALSE,2021-02-08T06:10:45.000Z
58080363,ブラック企業アナリスト 新田 龍,nittaryo,2009-07-19T01:05:38.000Z,Sun Jul 19 01:05:38 +0000 2009,74679,586,56206,3855,1276,働き方改革総合研究所株式会社代表取締役。労働環境改善支援とブラック企業/ブラックユニオン相手のこじれたトラブル解決が専門。各種メディアで労働問題・ブラック企業問題を語り、優良企業は顕彰。トラブル解決＆レピュテーション改善実績多数。ブラック企業ランキングワースト企業出身、厚生労働省ハラスメント対策企画委員。著書20冊。,http://wsiri.jp/,https://www.mag2.com/m/0001688554,FALSE,FALSE,FALSE,2021-02-08T03:39:50.000Z
3050600294,のろ～り,yororiso,2015-02-28T17:54:32.000Z,Sat Feb 28 17:54:32 +0000 2015,62059,676,90287,23306,1110,うろうろしてます　ふと思いついた絵を黙々描きます　ツイッターでは激しいのは投稿してませんがえろ描くよ　それと乗り物全般とか　漫画描く仕事したり　アニメの仕事したりイラストの仕事したりしてた！,,,FALSE,FALSE,FALSE,2021-02-08T07:50:25.000Z
60238858,中国住み,livein_china,2009-07-26T05:11:12.000Z,Sun Jul 26 05:11:12 +0000 2009,43434,988,13911,88707,0,中国やめました,🏴Saitama government account,https://www.google.com/maps/d/viewer?mid=1Ek3oddpxfJ0tA90Qqjl2azO6ed6-yh9W&hl=j,FALSE,FALSE,FALSE,2021-02-07T08:21:50.000Z
15312900,chokudai(高橋 直大)🍆,chokudai,2008-07-03T21:43:34.000Z,Thu Jul 03 21:43:34 +0000 2008,43204,14589,60520,119403,1009,AtCoder(株)代表取締役社長(競技プログラミングの会社)/筑駒中高→慶應SFC卒/競プロ世界ランカー(ICFPC優勝4回等)/たこやき/ぷよぷよ(PS4 MaxR:2813)/モバマスまゆ小日向でしてＰ まゆドリフ全一/チュウニズム虹レ/書籍『最強最速アルゴリズマー養成講座』著者/NewsPicksプロピッカー,東京都,http://chokudai.net/,TRUE,FALSE,FALSE,2021-02-08T07:43:08.000Z
2241164113,Niy_003,Niy_Koubou,2013-12-11T18:07:20.000Z,Wed Dec 11 18:07:20 +0000 2013,36081,7789,107212,75926,646,お絵かき活動一児の父親アカウント ニイまたはniyとお呼びください。ジャンルは東方ほか色々 タンブラー：https://t.co/Qv9BISP96K,マストドン/ https://pawoo.net/@Niy_005,http://www.pixiv.net/member.php?id=165186,FALSE,FALSE,FALSE,2021-02-08T05:33:38.000Z
171432450,はてなブログ｜思いは言葉に。,hatenablog,2010-07-27T09:51:06.000Z,Tue Jul 27 09:51:06 +0000 2010,33797,1951,2565,144054,389,"はてなブログは、趣味や好きなものの感想、技術・学習のアウトプット、日常の記録など様々な""言葉""を大切にします。公式アカウントではスタッフおすすめの記事をご紹介。質問はお問い合わせフォーム https://t.co/I7LFmL3Mxl へ。週刊はてなブログ https://t.co/SsZpgTkohf も更新中",京都,http://hatenablog.com/,FALSE,FALSE,FALSE,2021-02-08T07:00:01.000Z
470797449,トミナガハルキ／デザイン事務所AMIX,asobodesign,2012-01-22T05:00:22.000Z,Sun Jan 22 05:00:22 +0000 2012,32878,4803,82890,26036,437,小さなデザイン事務所(https://t.co/6LO31h4lfx)とサービスを細々と営んでいます。主にデザイン関連の情報をシェア・勉強しています | 最近デカフェです | 前向きに鬱と付き合っています→ https://t.co/5RTVDTDp1O | Photoshopの本を作りました→ https://t.co/fEJjfbOZt0,Osaka,http://amix-design.com/tominaga,FALSE,FALSE,FALSE,2021-02-08T05:27:53.000Z
886087615,くいなちゃん,kuina_ch,2012-10-17T04:41:49.000Z,Wed Oct 17 04:41:49 +0000 2012,32725,28444,278970,18061,687,わたしの知識の一部をあげますので、あなたの一部をください！　くいなちゃん、６さい。　フォローが多いですが、結構読んでいます。　サイト→ https://t.co/kOujEt1qiR　[イラスト／作曲／プログラミング／ゲーム制作／あらゆる学問／…,,https://kuina.ch,FALSE,FALSE,FALSE,2021-02-07T07:51:35.000Z
92961508,ミュージックハウスフレンズDJ/音楽機材,mhfriends,2009-11-27T12:41:30.000Z,Fri Nov 27 12:41:30 +0000 2009,30280,26981,1778,85406,252,30年以上楽器店を岐阜の田舎で通販の全国規模へと皆さんのご支援で成功。 DJ、ドラムを中心に楽器、音楽でのアーティスト、初心者支援で地球幸せ計画進行中。 ★機材使いこなしのプチテクDJ講座 機材を使いこなす ★スクラッチ講座 　ジャンルレスでスクラッチ使い★デモ動画撮影 　無名の凄い人支援 ★激安楽器販売,岐阜県,http://www.mh-friends.com/,FALSE,FALSE,FALSE,2021-02-08T06:03:21.000Z
